dataset,model,case,labels_dir,class_mode,split_mode,train_fraction,train_used,train_total,effective_batch,effective_imgsz,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B)
BCCD,yolo11n,side_1,labels_side_1,multiclass,explicit,1,310,310,32,640,0.901779775,0.58131241,0.920145691,0.605427913
BCCD,detr,side_1,labels_side_1,multiclass,explicit,1,310,310,4,640,0.912701466,0.63931915,0.824322415,0.907670403
BCCD,yolov8n,side_1,labels_side_1,object_only,explicit,1,310,310,32,640,0.882377261,0.573171905,0.806625626,0.836734694
BCCD,yolo11n,side_1,labels_side_1,object_only,explicit,1,310,310,32,640,0.875693398,0.588802359,0.821562149,0.795918367
BCCD,detr,side_1,labels_side_1,object_only,explicit,1,310,310,4,640,0.866080918,0.623535554,0.769066601,0.815572548
BCCD,yolov8n,side_3,labels_side_3,multiclass,explicit,1,310,310,32,640,0.575380619,0.268869457,0.648231509,0.533648694
BCCD,yolo11n,side_3,labels_side_3,multiclass,explicit,1,310,310,32,640,0.611886317,0.236301375,0.717402495,0.389334567
BCCD,detr,side_3,labels_side_3,multiclass,explicit,1,310,310,4,640,0.855104887,0.524271807,0.705532407,0.914278413
BCCD,yolov8n,side_3,labels_side_3,object_only,explicit,1,310,310,32,640,0.546789882,0.230446654,0.043333333,0.955102041
BCCD,yolo11n,side_3,labels_side_3,object_only,explicit,1,310,310,32,640,0.593484307,0.21326808,0.042222222,0.930612245
BCCD,detr,side_3,labels_side_3,object_only,explicit,1,310,310,4,640,0.838046023,0.557578476,0.731101937,0.799018543
BCCD,yolov8n,side_5,labels_side_5,multiclass,explicit,1,310,310,32,640,0.273122099,0.087924449,0.087963707,0.650261809
BCCD,yolo11n,side_5,labels_side_5,multiclass,explicit,1,310,310,32,640,0.28720358,0.087735314,0.029262032,0.642814329
BCCD,detr,side_5,labels_side_5,multiclass,explicit,1,310,310,4,640,0.621810391,0.318414827,0.577883296,0.486424981
BCCD,yolov8n,side_5,labels_side_5,object_only,explicit,1,310,310,32,640,0.288492625,0.049552901,0.051754787,0.956462585
BCCD,yolo11n,side_5,labels_side_5,object_only,explicit,1,310,310,32,640,0.29078606,0.0638288,0.041728395,0.919727891
BCCD,detr,side_5,labels_side_5,object_only,explicit,1,310,310,4,640,0.629582805,0.381731131,0.603168543,0.608163265
BCCD,yolov8n,side_7,labels_side_7,multiclass,explicit,1,310,310,32,640,0.286213272,0.079234932,0.154020898,0.722147177
